threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy
0.78,0.9960619585192964,0.8766173752310537,0.9325304166154602,2297,15,534,3794,0.573644578313253,0.006487889273356401,0.12338262476894639,0.9935121107266436,0.9350647429788486
0.79,0.9960536700868192,0.8747689463955638,0.9314798868249478,2297,15,542,3786,0.5724397590361445,0.006487889273356401,0.12523105360443623,0.9935121107266436,0.9341405285611037
0.8,0.996046389035319,0.8731515711645101,0.930558975621768,2297,15,549,3779,0.5713855421686747,0.006487889273356401,0.12684842883548983,0.9935121107266436,0.9333318409455769
0.81,0.9960380348652932,0.8713031423290203,0.929504560019719,2297,15,557,3771,0.5701807228915663,0.006487889273356401,0.12869685767097966,0.9935121107266436,0.9324076265278319
0.82,0.9960201644998673,0.8673752310536045,0.9272570087686798,2297,15,574,3754,0.5676204819277109,0.006487889273356401,0.13262476894639558,0.9935121107266436,0.930443670890124
0.83,0.9967914438502674,0.8613678373382625,0.9241447694595935,2300,12,600,3728,0.5632530120481928,0.005190311418685121,0.13863216266173753,0.9948096885813149,0.9280887629597887
0.84,0.9967862881628281,0.859981515711645,0.9233440833540064,2300,12,606,3722,0.5623493975903614,0.005190311418685121,0.1400184842883549,0.9948096885813149,0.92739560214648
0.85,0.9967802522135766,0.8583641404805915,0.9224084419615146,2300,12,613,3715,0.5612951807228915,0.005190311418685121,0.1416358595194085,0.9948096885813149,0.9265869145309532
0.86,0.9973067600323189,0.8555914972273567,0.9210297226713096,2302,10,625,3703,0.5591867469879518,0.004325259515570935,0.14440850277264325,0.995674740484429,0.9256331188558928
0.87,0.9972987574284171,0.8530499075785583,0.9195516811955168,2302,10,636,3692,0.5575301204819277,0.004325259515570935,0.14695009242144177,0.995674740484429,0.9243623240314937
0.88,0.9975596529284165,0.8500462107208873,0.9179141716566867,2303,9,649,3679,0.555421686746988,0.0038927335640138406,0.14995378927911276,0.9961072664359861,0.9230767385784366
0.89,0.9975510204081632,0.8470425138632163,0.9161564413344996,2303,9,662,3666,0.5534638554216867,0.0038927335640138406,0.15295748613678373,0.9961072664359861,0.9215748901496013
0.9,0.9978136102760317,0.8435767097966729,0.9142356329034681,2304,8,677,3651,0.5510542168674699,0.0034602076124567475,0.15642329020332718,0.9965397923875432,0.920058251092108
0.91,0.9978046103183315,0.8401109057301294,0.9121926743602609,2304,8,692,3636,0.5487951807228916,0.0034602076124567475,0.1598890942698706,0.9965397923875432,0.9183253490588363
0.92,0.9980614788147327,0.83271719038817,0.9079229122055674,2305,7,724,3604,0.5438253012048193,0.003027681660899654,0.16728280961182995,0.9969723183391004,0.9148447543636352
0.93,0.9983240223463687,0.8257855822550831,0.9038947900859888,2306,6,754,3574,0.5391566265060241,0.0025951557093425604,0.17421441774491683,0.9974048442906575,0.9115952132728703
0.94,0.9985935302390999,0.8202402957486137,0.9006723328681974,2307,5,778,3550,0.5353915662650602,0.0021626297577854673,0.17975970425138632,0.9978373702422145,0.9090388329954141
0.95,0.9988710132655941,0.8176987060998152,0.8992504129081438,2308,4,789,3539,0.5335843373493976,0.0017301038062283738,0.18230129390018485,0.9982698961937716,0.9079843011467934
0.96,0.9994323020153278,0.8135397412199631,0.8969558018086868,2310,2,807,3521,0.5305722891566265,0.0008650519031141869,0.18646025878003697,0.9991349480968859,0.9063373446584244
0.97,0.999707516817783,0.7897412199630314,0.8824060926810379,2311,1,910,3418,0.5149096385542169,0.00043252595155709344,0.21025878003696857,0.9995674740484429,0.8946543470057371
0.98,0.9996934396076027,0.7534658040665434,0.8592885375494071,2311,1,1067,3261,0.49126506024096384,0.00043252595155709344,0.24653419593345657,0.9995674740484429,0.8765166390574932
0.99,1.0,0.7063308687615527,0.8278943805010156,2312,0,1271,3057,0.4603915662650602,0.0,0.29366913123844735,1.0,0.8531654343807764
