threshold,precision,recall,f1,tn,fp,fn,tp,predicted_positive_rate,false_positive_rate,false_negative_rate,specificity,balanced_accuracy,selected_candidate_rules
0.54,0.8647416413373861,0.6781883194278904,0.760187040748163,1262,89,270,569,0.3004566210045662,0.06587712805329386,0.3218116805721097,0.9341228719467062,0.8061555956872983,
0.55,0.8690292758089369,0.6722288438617402,0.7580645161290323,1266,85,275,564,0.29634703196347034,0.06291635825314582,0.32777115613825986,0.9370836417468542,0.8046562428042972,
0.56,0.8732394366197183,0.66507747318236,0.7550744248985115,1270,81,281,558,0.29178082191780824,0.05995558845299778,0.33492252681764006,0.9400444115470022,0.8025609423646811,
0.57,0.8748019017432647,0.6579261025029798,0.7510204081632653,1272,79,287,552,0.28812785388127854,0.05847520355292376,0.3420738974970203,0.9415247964470762,0.799725449475028,
0.58,0.8802588996763754,0.6483909415971395,0.7467398764584763,1277,74,295,544,0.2821917808219178,0.05477424130273871,0.35160905840286055,0.9452257586972613,0.7968083501472004,
0.59,0.881578947368421,0.6388557806912991,0.7408431237042156,1279,72,303,536,0.2776255707762557,0.053293856402664694,0.36114421930870083,0.9467061435973353,0.7927809621443171,
0.6,0.8859060402684564,0.6293206197854588,0.7358885017421603,1283,68,311,528,0.27214611872146116,0.050333086602516654,0.3706793802145411,0.9496669133974833,0.7894937665914711,
0.61,0.886986301369863,0.6174016686531585,0.7280393534785664,1285,66,321,518,0.26666666666666666,0.04885270170244264,0.38259833134684146,0.9511472982975574,0.7842744834753579,
0.62,0.8900523560209425,0.6078665077473182,0.7223796033994334,1288,63,329,510,0.26164383561643834,0.046632124352331605,0.39213349225268174,0.9533678756476683,0.7806171916974933,
0.63,0.9065934065934066,0.5899880810488677,0.7148014440433214,1300,51,344,495,0.2493150684931507,0.03774981495188749,0.4100119189511323,0.9622501850481125,0.7761191330484901,B_max_precision_recall_ge_0_90;C_minimum_fp_recall_ge_0_90
0.64,0.9154135338345865,0.5804529201430274,0.7104303428154631,1306,45,352,487,0.24292237442922374,0.033308660251665435,0.4195470798569726,0.9666913397483345,0.773572129945681,
0.65,0.9180952380952381,0.5744934445768772,0.7067448680351907,1308,43,357,482,0.23972602739726026,0.03182827535159141,0.42550655542312277,0.9681717246484086,0.7713325846126429,
0.66,0.916504854368932,0.5625744934445769,0.6971935007385525,1308,43,367,472,0.23515981735159816,0.03182827535159141,0.4374255065554231,0.9681717246484086,0.7653731090464928,
0.67,0.9191321499013807,0.5554231227651967,0.6924219910846954,1310,41,373,466,0.23150684931506849,0.030347890451517395,0.4445768772348033,0.9696521095484826,0.7625376161568396,
0.68,0.9274193548387096,0.5482717520858165,0.6891385767790262,1315,36,379,460,0.2264840182648402,0.026646928201332347,0.45172824791418353,0.9733530717986677,0.7608124119422421,
0.69,0.9399585921325052,0.5411203814064363,0.686838124054463,1322,29,385,454,0.22054794520547946,0.02146558105107328,0.45887961859356374,0.9785344189489267,0.7598274001776815,
0.7,0.9432773109243697,0.5351609058402861,0.6828897338403042,1324,27,390,449,0.217351598173516,0.01998519615099926,0.464839094159714,0.9800148038490007,0.7575878548446434,
0.71,0.9483870967741935,0.5256257449344458,0.6763803680981595,1327,24,398,441,0.21232876712328766,0.01776461880088823,0.47437425506555425,0.9822353811991118,0.7539305630667787,
0.72,0.9564270152505446,0.5232419547079857,0.6764252696456087,1331,20,400,439,0.2095890410958904,0.014803849000740192,0.4767580452920143,0.9851961509992598,0.7542190528536228,
0.73,0.9666666666666667,0.5184743742550656,0.6749418153607447,1336,15,404,435,0.2054794520547945,0.011102886750555145,0.48152562574493446,0.9888971132494448,0.7536857437522553,
0.74,0.9750566893424036,0.5125148986889154,0.671875,1340,11,409,430,0.20136986301369864,0.008142116950407105,0.48748510131108463,0.9918578830495929,0.7521863908692541,
0.75,0.9747126436781609,0.5053635280095352,0.6656200941915228,1340,11,415,424,0.19863013698630136,0.008142116950407105,0.49463647199046484,0.9918578830495929,0.7486107055295641,
0.76,0.9812646370023419,0.499404052443385,0.6619273301737757,1343,8,420,419,0.19497716894977168,0.005921539600296077,0.5005959475566151,0.9940784603997039,0.7467412564215444,
0.77,0.9833333333333333,0.4922526817640048,0.6560762509928515,1344,7,426,413,0.1917808219178082,0.0051813471502590676,0.5077473182359953,0.9948186528497409,0.7435356673068728,
0.78,0.9853658536585366,0.48152562574493446,0.6469175340272217,1345,6,435,404,0.1872146118721461,0.0044411547002220575,0.5184743742550656,0.9955588452997779,0.7385422355223562,
