machine_id,run_id,segment_id,start_time,end_time,duration_seconds,row_count,median_interval_seconds,number_of_gaps_before_segment,safe_for_5min_label,safe_for_10min_label
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_045,2026-07-28 12:51:35.293000+00:00,2026-07-28 12:51:47.312000+00:00,12.019,3,6.0095,44,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_046,2026-07-28 12:51:57.943000+00:00,2026-07-28 12:51:57.943000+00:00,0.0,1,,45,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_047,2026-07-28 12:52:09.376000+00:00,2026-07-28 12:52:53.166000+00:00,43.79,7,10.0365,46,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_048,2026-07-28 12:53:03.564000+00:00,2026-07-28 12:53:25.073000+00:00,21.509,4,9.727,47,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_049,2026-07-28 12:53:35.436000+00:00,2026-07-28 13:01:09.213000+00:00,453.777,178,2.022,48,True,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_050,2026-07-28 13:01:19.624000+00:00,2026-07-28 13:02:51.110000+00:00,91.486,15,9.775500000000001,49,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_051,2026-07-28 13:03:01.419000+00:00,2026-07-28 13:03:10.951000+00:00,9.532,2,9.532,50,False,False
7232bc533c21ce408d45d473,d88b15dd-1915-43ca-90ef-69f31ff4d9c1,7232bc533c21ce408d45d473__d88b15dd-1915-43ca-90ef-69f31ff4d9c1__seg_052,2026-07-28 13:03:21.457000+00:00,2026-07-28 13:10:16.143000+00:00,414.686,163,2.0309999999999997,51,True,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_001,2026-07-28 15:15:18.443000+00:00,2026-07-28 15:21:38.122000+00:00,379.679,96,2.234,0,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_002,2026-07-28 15:21:49.070000+00:00,2026-07-28 15:25:06.462000+00:00,197.392,53,2.5385,1,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_003,2026-07-28 15:25:18.800000+00:00,2026-07-28 15:25:18.800000+00:00,0.0,1,,2,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_004,2026-07-28 15:25:31.653000+00:00,2026-07-28 15:25:31.653000+00:00,0.0,1,,3,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_005,2026-07-28 15:25:43.065000+00:00,2026-07-28 15:25:43.065000+00:00,0.0,1,,4,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_006,2026-07-28 15:25:55.207000+00:00,2026-07-28 15:25:55.207000+00:00,0.0,1,,5,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_007,2026-07-28 15:26:07.151000+00:00,2026-07-28 15:26:07.151000+00:00,0.0,1,,6,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_008,2026-07-28 15:26:20.885000+00:00,2026-07-28 15:26:20.885000+00:00,0.0,1,,7,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_009,2026-07-28 15:26:33.292000+00:00,2026-07-28 15:26:33.292000+00:00,0.0,1,,8,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_010,2026-07-28 15:26:45.041000+00:00,2026-07-28 15:26:45.041000+00:00,0.0,1,,9,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_011,2026-07-28 15:26:56.811000+00:00,2026-07-28 15:26:56.811000+00:00,0.0,1,,10,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_012,2026-07-28 15:27:09.099000+00:00,2026-07-28 15:27:09.099000+00:00,0.0,1,,11,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_013,2026-07-28 15:27:20.781000+00:00,2026-07-28 15:27:20.781000+00:00,0.0,1,,12,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_014,2026-07-28 15:27:32.096000+00:00,2026-07-28 15:27:32.096000+00:00,0.0,1,,13,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_015,2026-07-28 15:27:43.062000+00:00,2026-07-28 15:31:14.837000+00:00,211.775,81,2.0700000000000003,14,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_016,2026-07-28 15:31:25.333000+00:00,2026-07-28 15:32:06.286000+00:00,40.953,6,9.931,15,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_017,2026-07-28 15:32:16.851000+00:00,2026-07-28 15:36:28.597000+00:00,251.746,74,2.307,16,False,False
7232bc533c21ce408d45d473,ec61755d-b5be-42ac-875d-3123e92add7a,7232bc533c21ce408d45d473__ec61755d-b5be-42ac-875d-3123e92add7a__seg_018,2026-07-28 15:36:41.786000+00:00,2026-07-28 15:36:41.786000+00:00,0.0,1,,17,False,False
