feature_name,training_data_type,training_missing_count,training_missing_percentage,training_unique_count,training_infinite_count,retained_or_removed,reason,median_learned_from_train,missing_indicator_created,high_training_missingness_20pct
swap_pct_change_30s,float64,0,0.0,54,0.0,retained,retained_numeric_training_feature,0.0,False,False
swap_pct_missing_pct_30s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
swap_pct_mean_60s,float64,0,0.0,1451,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_max_60s,float64,0,0.0,62,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_min_60s,float64,0,0.0,60,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_std_60s,float64,21,0.1401,1613,0.0,retained,retained_numeric_training_feature,9.530751914535085e-08,True,False
swap_pct_change_60s,float64,0,0.0,55,0.0,retained,retained_numeric_training_feature,0.0,False,False
swap_pct_missing_pct_60s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
swap_pct_mean_120s,float64,0,0.0,2624,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_max_120s,float64,0,0.0,61,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_min_120s,float64,0,0.0,57,0.0,retained,retained_numeric_training_feature,46.4,False,False
swap_pct_std_120s,float64,21,0.1401,2859,0.0,retained,retained_numeric_training_feature,0.0,True,False
swap_pct_change_120s,float64,0,0.0,62,0.0,retained,retained_numeric_training_feature,0.0,False,False
swap_pct_missing_pct_120s,float64,0,0.0,1,0.0,removed,removed_constant_in_training,,False,False
disk_latency_ms_mean_30s,float64,4,0.0267,7358,0.0,retained,retained_numeric_training_feature,0.2121875,True,False
disk_latency_ms_max_30s,float64,4,0.0267,511,0.0,retained,retained_numeric_training_feature,0.438,True,False
disk_latency_ms_min_30s,float64,4,0.0267,133,0.0,retained,retained_numeric_training_feature,0.041,True,False
disk_latency_ms_std_30s,float64,25,0.1667,9378,0.0,retained,retained_numeric_training_feature,0.1062993180378316,True,False
disk_latency_ms_change_30s,float64,48,0.3201,2382,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_latency_ms_missing_pct_30s,float64,0,0.0,16,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_latency_ms_mean_60s,float64,4,0.0267,8133,0.0,retained,retained_numeric_training_feature,0.2288387096774194,True,False
disk_latency_ms_max_60s,float64,4,0.0267,372,0.0,retained,retained_numeric_training_feature,0.568,True,False
disk_latency_ms_min_60s,float64,4,0.0267,80,0.0,retained,retained_numeric_training_feature,0.032,True,False
disk_latency_ms_std_60s,float64,25,0.1667,10021,0.0,retained,retained_numeric_training_feature,0.12407909327449405,True,False
disk_latency_ms_change_60s,float64,100,0.667,2366,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_latency_ms_missing_pct_60s,float64,0,0.0,32,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_latency_ms_mean_120s,float64,4,0.0267,8898,0.0,retained,retained_numeric_training_feature,0.2431333333333332,True,False
disk_latency_ms_max_120s,float64,4,0.0267,270,0.0,retained,retained_numeric_training_feature,0.667,True,False
disk_latency_ms_min_120s,float64,4,0.0267,57,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_latency_ms_std_120s,float64,25,0.1667,10755,0.0,retained,retained_numeric_training_feature,0.141549161185383,True,False
disk_latency_ms_change_120s,float64,182,1.2139,2408,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_latency_ms_missing_pct_120s,float64,0,0.0,61,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_read_mb_s_mean_30s,float64,4,0.0267,13754,0.0,retained,retained_numeric_training_feature,0.5561749999999986,True,False
disk_read_mb_s_max_30s,float64,4,0.0267,1844,0.0,retained,retained_numeric_training_feature,2.1615,True,False
disk_read_mb_s_min_30s,float64,4,0.0267,522,0.0,retained,retained_numeric_training_feature,0.0164,True,False
disk_read_mb_s_std_30s,float64,25,0.1667,13916,0.0,retained,retained_numeric_training_feature,0.6480317066627812,True,False
disk_read_mb_s_change_30s,float64,48,0.3201,9917,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_read_mb_s_missing_pct_30s,float64,0,0.0,16,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_read_mb_s_mean_60s,float64,4,0.0267,14020,0.0,retained,retained_numeric_training_feature,0.6794580645161292,True,False
disk_read_mb_s_max_60s,float64,4,0.0267,1113,0.0,retained,retained_numeric_training_feature,4.072,True,False
disk_read_mb_s_min_60s,float64,4,0.0267,290,0.0,retained,retained_numeric_training_feature,0.0082,True,False
disk_read_mb_s_std_60s,float64,25,0.1667,14102,0.0,retained,retained_numeric_training_feature,0.9412954075718798,True,False
disk_read_mb_s_change_60s,float64,100,0.667,9939,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_read_mb_s_missing_pct_60s,float64,0,0.0,32,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_read_mb_s_mean_120s,float64,4,0.0267,14196,0.0,retained,retained_numeric_training_feature,0.8842183333333333,True,False
disk_read_mb_s_max_120s,float64,4,0.0267,656,0.0,retained,retained_numeric_training_feature,11.3734,True,False
disk_read_mb_s_min_120s,float64,4,0.0267,173,0.0,retained,retained_numeric_training_feature,0.0082,True,False
disk_read_mb_s_std_120s,float64,25,0.1667,14202,0.0,retained,retained_numeric_training_feature,1.8350641310554938,True,False
disk_read_mb_s_change_120s,float64,182,1.2139,10126,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_read_mb_s_missing_pct_120s,float64,0,0.0,61,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_write_mb_s_mean_30s,float64,4,0.0267,14710,0.0,retained,retained_numeric_training_feature,0.5231,True,False
disk_write_mb_s_max_30s,float64,4,0.0267,1891,0.0,retained,retained_numeric_training_feature,1.8824,True,False
disk_write_mb_s_min_30s,float64,4,0.0267,585,0.0,retained,retained_numeric_training_feature,0.0164,True,False
disk_write_mb_s_std_30s,float64,25,0.1667,14833,0.0,retained,retained_numeric_training_feature,0.6971547504300888,True,False
disk_write_mb_s_change_30s,float64,48,0.3201,9856,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_write_mb_s_missing_pct_30s,float64,0,0.0,16,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_write_mb_s_mean_60s,float64,4,0.0267,14723,0.0,retained,retained_numeric_training_feature,0.5532966666666667,True,False
disk_write_mb_s_max_60s,float64,4,0.0267,1161,0.0,retained,retained_numeric_training_feature,2.7485,True,False
disk_write_mb_s_min_60s,float64,4,0.0267,354,0.0,retained,retained_numeric_training_feature,0.0164,True,False
disk_write_mb_s_std_60s,float64,25,0.1667,14795,0.0,retained,retained_numeric_training_feature,0.7550474165674332,True,False
disk_write_mb_s_change_60s,float64,100,0.667,9967,0.0,retained,retained_numeric_training_feature,0.0,True,False
disk_write_mb_s_missing_pct_60s,float64,0,0.0,32,0.0,retained,retained_numeric_training_feature,0.0,False,False
disk_write_mb_s_mean_120s,float64,4,0.0267,14812,0.0,retained,retained_numeric_training_feature,0.5855849999999999,True,False
disk_write_mb_s_max_120s,float64,4,0.0267,653,0.0,retained,retained_numeric_training_feature,4.2842,True,False
disk_write_mb_s_min_120s,float64,4,0.0267,221,0.0,retained,retained_numeric_training_feature,0.0164,True,False
